,logFC,logCPM,F,PValue,FDR,neg_signed_logpval
ENSG00000198838,-2.81021267548497,2.64506749359818,341.376141918475,4.23080807434742e-36,3.96363254445238e-34,-35.37357667548232
ENSG00000168874,-3.74282272070812,3.72263281316243,341.147240714025,4.3543117914806196e-36,4.0590417928841995e-34,-35.36108047642689
ENSG00000184500,-1.9004264437601,5.7127388112433,340.37986006263,4.7957717492617894e-36,4.4484344191048596e-34,-35.31914149496331
ENSG00000035499,3.01687675482478,1.97851955924467,339.484839480264,5.3686261105723495e-36,4.95526834649232e-34,35.27013684073213
ENSG00000011021,-0.927045583516268,4.55011104401164,339.285736879013,5.5052586612500796e-36,5.05647213410994e-34,-35.25922227114917
ENSG00000153253,-3.29923660956885,2.01340334835295,339.173892088798,5.5835580876315e-36,5.1033720920951895e-34,-35.25308896139093
ENSG00000174871,2.73686722804263,1.3207615852368,339.04659567665,5.674054828215979e-36,5.1609109376836295e-34,35.24610647194577
ENSG00000114346,1.91433897764612,5.40615373153311,338.15520854251,6.351017525875649e-36,5.74874470446049e-34,35.19715668880705
ENSG00000171241,2.70030712087648,3.02706027291861,337.10572367144,7.25436111847002e-36,6.534854051767929e-34,35.13940082925527
ENSG00000111206,3.28246277172313,4.68160510942873,336.860714737969,7.483453371733189e-36,6.7089696567543e-34,35.12589794301998
ENSG00000163041,1.09305265230013,5.51269758023532,335.840799887038,8.51903982569933e-36,7.60101186733945e-34,35.069609351465616
ENSG00000187730,3.32306113696467,1.23869909501077,335.479901996442,8.919471120128579e-36,7.906265600027719e-34,35.04966089634353
ENSG00000266964,-3.85679940137143,1.8892024121969,335.456969958785,8.945553221998601e-36,7.906265600027719e-34,-35.04839279608802
ENSG00000160753,1.33749015134752,5.57118363912211,334.612869482594,9.96161311317907e-36,8.76294577002987e-34,35.001670329304524
ENSG00000253552,-1.93463976156255,1.75359149664772,334.547647780563,1.00448505373603e-35,8.794876846659789e-34,-34.998056520964774
ENSG00000011523,-1.00831506540903,5.89312485288636,332.996597387673,1.22472876144835e-35,1.06733687457013e-33,-34.911960083094954
ENSG00000132646,1.29825197535121,6.37868513643641,332.593466703539,1.28963310492254e-35,1.1186970132839599e-33,34.889533827042825
ENSG00000162062,2.42314966131728,1.88675806967322,332.398916513027,1.3221974498044e-35,1.1416596136859399e-33,34.87870368482211
